Leonardo DiCaprio,Kate Winslet
Leonardo DiCaprio,Martin Scorsese
Will Smith,Jennifer Hudson
Forest Whitaker,Jackie Earle Haley
Forest Whitaker,Cate Blanchett
Forest Whitaker,Jennifer Hudson
Forest Whitaker,Julie Christie
Forest Whitaker,Marion Cotillard
Forest Whitaker,Laura Linney
Forest Whitaker,Ellen Page
Forest Whitaker,Taraji P. Henson
Alan Arkin,Meryl Streep
Alan Arkin,Brad Pitt
Jackie Earle Haley,Jennifer Hudson
Mark Wahlberg,Saoirse Ronan
Penélope Cruz,Javier Bardem
Penélope Cruz,Judi Dench
Penélope Cruz,Daniel Day-Lewis
Penélope Cruz,Marion Cotillard
Judi Dench,Adriana Barraza
Judi Dench,Daniel Day-Lewis
Judi Dench,Marion Cotillard
Helen Mirren,Tony Gilroy
Helen Mirren,Viola Davis
Meryl Streep,Clint Eastwood
Meryl Streep,Philip Seymour Hoffman
Meryl Streep,George Clooney
Meryl Streep,Amy Adams
Meryl Streep,Viola Davis
Cate Blanchett,Julie Christie
Cate Blanchett,Marion Cotillard
Cate Blanchett,Laura Linney
Cate Blanchett,Ellen Page
Cate Blanchett,Tilda Swinton
Cate Blanchett,Brad Pitt
Cate Blanchett,Taraji P. Henson
Cate Blanchett,David Fincher
Alejandro González Iñárritu,Martin Scorsese
Alejandro González Iñárritu,Clint Eastwood
Martin Scorsese,Clint Eastwood
Martin Scorsese,George Clooney
Martin Scorsese,Julian Schnabel
Clint Eastwood,George Clooney
Clint Eastwood,Hal Holbrook
Clint Eastwood,Amy Ryan
George Clooney,Tilda Swinton
George Clooney,Jason Reitman
George Clooney,Brad Pitt
George Clooney,Angelina Jolie
Daniel Day-Lewis,Marion Cotillard
Johnny Depp,Marion Cotillard
Johnny Depp,Heath Ledger
Tommy Lee Jones,Javier Bardem
Viggo Mortensen,Sean Penn
Viggo Mortensen,Josh Brolin
Viggo Mortensen,Marisa Tomei
Philip Seymour Hoffman,Amy Adams
Philip Seymour Hoffman,Viola Davis
Tom Wilkinson,Tony Gilroy
Julie Christie,Marion Cotillard
Julie Christie,Laura Linney
Julie Christie,Ellen Page
Marion Cotillard,Laura Linney
Marion Cotillard,Ellen Page
Laura Linney,Ellen Page
Laura Linney,Marisa Tomei
Amy Ryan,Michael Shannon
Tony Gilroy,Viola Davis
Sean Penn,Josh Brolin
Sean Penn,Marisa Tomei
Brad Pitt,Angelina Jolie
Brad Pitt,Viola Davis
Brad Pitt,Taraji P. Henson
Brad Pitt,David Fincher
Josh Brolin,Marisa Tomei
Amy Adams,Viola Davis
Taraji P. Henson,David Fincher
