Leonardo DiCaprio,Kate Winslet
Leonardo DiCaprio,Martin Scorsese
Will Smith,Jennifer Hudson
Forest Whitaker,Jackie Earle Haley
Forest Whitaker,Cate Blanchett
Forest Whitaker,Jennifer Hudson
Forest Whitaker,Julie Christie
Forest Whitaker,Marion Cotillard
Forest Whitaker,Laura Linney
Forest Whitaker,Ellen Page
Alan Arkin,Meryl Streep
Jackie Earle Haley,Jennifer Hudson
Penélope Cruz,Javier Bardem
Meryl Streep,Clint Eastwood
Meryl Streep,Philip Seymour Hoffman
Cate Blanchett,Julie Christie
Cate Blanchett,Marion Cotillard
Cate Blanchett,Laura Linney
Cate Blanchett,Ellen Page
Cate Blanchett,Tilda Swinton
Alejandro González Iñárritu,Martin Scorsese
Alejandro González Iñárritu,Clint Eastwood
Martin Scorsese,Clint Eastwood
Martin Scorsese,George Clooney
Martin Scorsese,Julian Schnabel
Clint Eastwood,George Clooney
Clint Eastwood,Hal Holbrook
Clint Eastwood,Amy Ryan
George Clooney,Tilda Swinton
Tommy Lee Jones,Javier Bardem
Julie Christie,Marion Cotillard
Julie Christie,Laura Linney
Julie Christie,Ellen Page
Marion Cotillard,Laura Linney
Marion Cotillard,Ellen Page
Laura Linney,Ellen Page
