Leonardo DiCaprio,Kate Winslet
Leonardo DiCaprio,Martin Scorsese
Leonardo DiCaprio,Jackie Earle Haley
Leonardo DiCaprio,Marion Cotillard
Leonardo DiCaprio,Ellen Page
Ryan Gosling,Frank Langella
Will Smith,Jennifer Hudson
Will Smith,Taraji P. Henson
Forest Whitaker,Jackie Earle Haley
Forest Whitaker,Cate Blanchett
Forest Whitaker,Jennifer Hudson
Forest Whitaker,Julie Christie
Forest Whitaker,Marion Cotillard
Forest Whitaker,Laura Linney
Forest Whitaker,Ellen Page
Forest Whitaker,Taraji P. Henson
Forest Whitaker,Meryl Streep
Alan Arkin,Meryl Streep
Alan Arkin,Brad Pitt
Jackie Earle Haley,Jennifer Hudson
Jackie Earle Haley,Martin Scorsese
Djimon Hounsou,Helen Mirren
Mark Wahlberg,Saoirse Ronan
Mark Wahlberg,Melissa Leo
Mark Wahlberg,Amy Adams
Mark Wahlberg,Taraji P. Henson
Penélope Cruz,Javier Bardem
Penélope Cruz,Judi Dench
Penélope Cruz,Daniel Day-Lewis
Penélope Cruz,Marion Cotillard
Judi Dench,Adriana Barraza
Judi Dench,Daniel Day-Lewis
Judi Dench,Marion Cotillard
Helen Mirren,Tony Gilroy
Helen Mirren,Viola Davis
Helen Mirren,Tom Wilkinson
Helen Mirren,Morgan Freeman
Meryl Streep,Clint Eastwood
Meryl Streep,Philip Seymour Hoffman
Meryl Streep,George Clooney
Meryl Streep,Amy Adams
Meryl Streep,Viola Davis
Cate Blanchett,Julie Christie
Cate Blanchett,Marion Cotillard
Cate Blanchett,Laura Linney
Cate Blanchett,Ellen Page
Cate Blanchett,Tilda Swinton
Cate Blanchett,Brad Pitt
Cate Blanchett,Taraji P. Henson
Cate Blanchett,David Fincher
Cate Blanchett,Johnny Depp
Cate Blanchett,Viggo Mortensen
Cate Blanchett,Robert Downey Jr.
Cate Blanchett,Morgan Freeman
Cate Blanchett,Matt Damon
Cate Blanchett,James Cameron
Alejandro González Iñárritu,Martin Scorsese
Alejandro González Iñárritu,Clint Eastwood
Alejandro González Iñárritu,Javier Bardem
Martin Scorsese,Clint Eastwood
Martin Scorsese,George Clooney
Martin Scorsese,Julian Schnabel
Clint Eastwood,George Clooney
Clint Eastwood,Hal Holbrook
Clint Eastwood,Amy Ryan
Clint Eastwood,Morgan Freeman
Clint Eastwood,Matt Damon
Paul Greengrass,Amy Ryan
Paul Greengrass,Matt Damon
George Clooney,Tilda Swinton
George Clooney,Jason Reitman
George Clooney,Brad Pitt
George Clooney,Angelina Jolie
Daniel Day-Lewis,Marion Cotillard
Johnny Depp,Marion Cotillard
Johnny Depp,Heath Ledger
Johnny Depp,Viggo Mortensen
Johnny Depp,Brad Pitt
Johnny Depp,Robert Downey Jr.
Johnny Depp,Anne Hathaway
Johnny Depp,Angelina Jolie
Johnny Depp,Morgan Freeman
Johnny Depp,Matt Damon
Johnny Depp,James Cameron
Tommy Lee Jones,Javier Bardem
Viggo Mortensen,Sean Penn
Viggo Mortensen,Josh Brolin
Viggo Mortensen,Marisa Tomei
Viggo Mortensen,Brad Pitt
Viggo Mortensen,Robert Downey Jr.
Viggo Mortensen,Morgan Freeman
Viggo Mortensen,Matt Damon
Viggo Mortensen,James Cameron
Casey Affleck,Sean Penn
Javier Bardem,Tilda Swinton
Javier Bardem,Richard Jenkins
Javier Bardem,Brad Pitt
Javier Bardem,Viola Davis
Javier Bardem,Matt Damon
Philip Seymour Hoffman,Amy Adams
Philip Seymour Hoffman,Viola Davis
Philip Seymour Hoffman,Amy Ryan
Tom Wilkinson,Tony Gilroy
Julie Christie,Marion Cotillard
Julie Christie,Laura Linney
Julie Christie,Ellen Page
Marion Cotillard,Laura Linney
Marion Cotillard,Ellen Page
Laura Linney,Ellen Page
Laura Linney,Marisa Tomei
Amy Ryan,Michael Shannon
Amy Ryan,Matt Damon
Tilda Swinton,Matt Damon
Tony Gilroy,Viola Davis
Richard Jenkins,Brad Pitt
Richard Jenkins,Viola Davis
Frank Langella,Josh Brolin
Frank Langella,Carey Mulligan
Sean Penn,Josh Brolin
Sean Penn,Marisa Tomei
Brad Pitt,Angelina Jolie
Brad Pitt,Viola Davis
Brad Pitt,Taraji P. Henson
Brad Pitt,David Fincher
Brad Pitt,Robert Downey Jr.
Brad Pitt,Morgan Freeman
Brad Pitt,Matt Damon
Brad Pitt,James Cameron
Mickey Rourke,Robert Downey Jr.
Mickey Rourke,Michael Shannon
Josh Brolin,Marisa Tomei
Josh Brolin,Michael Shannon
Josh Brolin,Jeff Bridges
Josh Brolin,Matt Damon
Josh Brolin,Carey Mulligan
Robert Downey Jr.,Amy Adams
Robert Downey Jr.,Morgan Freeman
Robert Downey Jr.,Matt Damon
Robert Downey Jr.,James Cameron
Melissa Leo,Amy Adams
Amy Adams,Viola Davis
Taraji P. Henson,David Fincher
Jeff Bridges,Matt Damon
Morgan Freeman,Matt Damon
Morgan Freeman,James Cameron
Matt Damon,James Cameron
Anna Kendrick,Quentin Tarantino
